deal_id,account_name,industry,employees,region,lead_source,arr,outcome,cycle_days,close_date
D-10000,Merrivale Health,Healthcare,7747,US-West,Paid Search,476000,won,87,2025-01-12
D-10001,Westmere Materials,Real Estate,1013,US-East,Webinar,42000,won,122,2025-04-15
D-10002,Thornbury Diagnostics,Education,1307,UK/EU,Outbound SDR,56000,lost,90,2025-09-17
D-10003,Junction Labs,Retail,85,Canada,Webinar,9000,lost,119,2025-01-02
D-10004,Thornbury Retail Co,Healthcare,190,Canada,Outbound SDR,9000,won,78,2024-10-06
D-10005,Fenwick Group,Manufacturing,11626,US-West,Outbound SDR,558000,lost,136,2025-09-22
D-10006,Harrowgate Logistics,Retail,265,US-East,Conference,9000,lost,73,2024-08-09
D-10007,Langford Therapeutics,Education,347,US-East,Partner Referral,9000,lost,83,2025-10-17
D-10008,Pemberton Systems,Logistics,939,UK/EU,Inbound Demo,37000,won,55,2025-06-04
D-10009,Harrowgate Bioscience,Healthcare,4153,UK/EU,Outbound SDR,197000,won,97,2026-05-02
D-10010,Maplewood Networks,Banking,170,US-East,Inbound Demo,9000,won,91,2025-02-13
D-10011,Oakhurst Foods,Hospitality,55,UK/EU,Inbound Demo,9000,lost,118,2026-04-18
D-10012,Foxglove Logistics,Retail,376,UK/EU,Outbound SDR,12000,won,89,2026-04-13
D-10013,Norbury Insurance,Retail,94,UK/EU,Outbound SDR,9000,lost,83,2026-02-15
D-10014,Ivywood Foods,Education,349,US-East,Outbound SDR,20000,lost,84,2025-03-01
D-10015,Kilmarnock Robotics,Healthcare,232,US-West,Partner Referral,9000,lost,69,2025-02-27
D-10016,Ironwood Systems,Education,658,US-East,Inbound Demo,23000,won,107,2024-11-06
D-10017,Norbury Holdings,Logistics,95,US-West,Inbound Demo,9000,lost,142,2026-04-05
D-10018,Glenmore Robotics,Banking,115,US-East,Paid Search,9000,won,111,2024-08-18
D-10019,Silverpine Clinical,Real Estate,93,Canada,Conference,9000,won,93,2024-10-07
D-10020,Lattice Partners,Hospitality,787,US-East,Partner Referral,41000,lost,88,2025-12-04
D-10021,Fairhaven Robotics,Healthcare,100,Canada,Inbound Demo,9000,won,71,2025-04-07
D-10022,Maplewood Foods,Real Estate,220,US-East,Webinar,9000,lost,94,2026-05-31
D-10023,Langford Systems,Retail,996,US-East,Webinar,58000,lost,96,2026-05-29
D-10024,Jarvis Networks,Banking,74,US-East,Outbound SDR,9000,lost,64,2024-08-15
D-10025,Nova Industries,Manufacturing,2915,Canada,Inbound Demo,124000,lost,106,2026-05-15
