opportunity_id,account,owner,segment,stage,forecast_category,amount,days_inactive,recency_factor,risk_adjusted,flags
0068D41106,Cascadia Materials,S. Lindqvist,Enterprise,Discovery,Pipeline,587500.0,120,0.1,2350.0,stale 120d
0068D41130,Vault Insurance,R. Chowdhury,Enterprise,Negotiation,Commit,533500.0,18,0.8,209132.0,no next step
0068D41009,Marlowe Capital,S. Lindqvist,Enterprise,Proposal,Best Case,489000.0,43,0.522,66395.33,stale 43d; no next step
0068D41093,Vault Holdings,T. Nakamura,Enterprise,Discovery,Commit,484500.0,27,0.7,13566.0,close date 113d past due; no next step; committed from discovery
0068D41134,Northbridge Aviation,J. Baptiste,Enterprise,Qualification,Pipeline,467000.0,19,0.789,40525.22,close date 24d past due
0068D41092,Kingsley Robotics,A. Whitfield,Enterprise,Discovery,Pipeline,446500.0,19,0.789,14089.56,close date 33d past due
0068D41014,Cobalt Health,R. Chowdhury,Enterprise,Negotiation,Commit,407500.0,2,0.978,195237.78,no next step
0068D41117,Ardent Systems,D. Okafor,Enterprise,Proposal,Best Case,404500.0,15,0.833,87641.67,no next step
0068D41108,Foxglove Foods,R. Chowdhury,Enterprise,Contracting,Commit,391000.0,14,0.844,257538.67,close date 25d past due; no next step
0068D41045,Vault Industries,T. Nakamura,Enterprise,Negotiation,Commit,374000.0,25,0.722,132354.44,close date 30d past due
0068D41037,Jesmond Capital,D. Okafor,Enterprise,Contracting,Commit,370500.0,0,1.0,288990.0,no next step
0068D41082,Silverpine Industries,D. Okafor,Enterprise,Negotiation,Commit,343500.0,68,0.244,41143.67,stale 68d; close date 19d past due; no next step
0068D41132,Meridian Materials,R. Chowdhury,Enterprise,Proposal,Best Case,301500.0,91,0.1,7839.0,stale 91d; close date 7d past due
0068D41111,Vantage Health,S. Lindqvist,Enterprise,Qualification,Pipeline,276000.0,62,0.311,9445.33,stale 62d
0068D41128,Bellamy Media,D. Okafor,Enterprise,Proposal,Best Case,250000.0,8,0.911,59222.22,no next step
0068D41091,Kilmarnock Therapeutics,M. Reyes,Enterprise,Qualification,Commit,202000.0,20,0.778,17282.22,close date 40d past due; no next step; committed from qualification
0068D41001,Braemar Technologies,D. Okafor,Enterprise,Negotiation,Commit,200000.0,25,0.722,70777.78,no next step
0068D41127,Bellamy Industries,T. Nakamura,Mid-Market,Qualification,Pipeline,159500.0,29,0.678,16215.83,no next step
0068D41131,Loxley Technologies,S. Lindqvist,Mid-Market,Proposal,Best Case,153000.0,26,0.711,33728.0,close date 47d past due
0068D41068,Meridian Logistics,D. Okafor,Mid-Market,Discovery,Pipeline,152500.0,20,0.778,7116.67,close date 8d past due
0068D41027,Fenwick Foods,D. Okafor,Mid-Market,Qualification,Pipeline,151500.0,23,0.744,16917.5,close date 73d past due
0068D41018,Westmere Diagnostics,T. Nakamura,Mid-Market,Qualification,Pipeline,150500.0,66,0.267,6020.0,stale 66d; close date 22d past due
0068D41123,Copperfield Retail Co,M. Reyes,Mid-Market,Negotiation,Commit,146000.0,18,0.8,64240.0,close date 19d past due; no next step
0068D41079,Glenmore Capital,A. Whitfield,Mid-Market,Discovery,Pipeline,145000.0,19,0.789,6863.33,no next step
0068D41097,Nightingale Foods,S. Lindqvist,Mid-Market,Discovery,Pipeline,141500.0,9,0.9,7641.0,close date 34d past due
0068D41038,Bellamy Financial,M. Reyes,Mid-Market,Discovery,Pipeline,137000.0,12,0.867,7124.0,no next step
0068D41028,Fenwick Bioscience,S. Lindqvist,Mid-Market,Contracting,Commit,128500.0,14,0.844,88979.11,no next step
0068D41000,Wren Clinical,T. Nakamura,Mid-Market,Discovery,Pipeline,127500.0,13,0.856,6545.0,close date 36d past due
0068D41110,Elderwood Therapeutics,R. Chowdhury,Mid-Market,Negotiation,Commit,122000.0,97,0.1,6710.0,stale 97d
0068D41067,Nova Insurance,A. Whitfield,Mid-Market,Qualification,Pipeline,115000.0,86,0.1,1725.0,stale 86d
