opportunity_id,account_name,industry,segment,owner,amount,stage,forecast_category,created_date,close_date,last_activity_date,next_step
0068D41000,Wren Clinical,Real Estate,Mid-Market,T. Nakamura,127500,Discovery,Pipeline,2026-04-07,2026-05-25,2026-06-17,Security review scheduled
0068D41001,Braemar Technologies,Healthcare,Enterprise,D. Okafor,200000,Negotiation,Commit,2025-12-12,2026-09-29,2026-06-05,
0068D41002,Kingsley Technologies,Manufacturing,Mid-Market,J. Baptiste,110000,Discovery,Pipeline,2026-04-26,2026-08-23,2026-05-10,
0068D41003,Tamarack Retail Co,Logistics,Mid-Market,J. Baptiste,65500,Discovery,Pipeline,2026-04-21,2026-08-10,2026-06-01,Pilot scoping call
0068D41004,Braemar Robotics,Real Estate,SMB,M. Reyes,0,Discovery,Pipeline,2026-05-06,2026-07-06,2026-06-08,Champion intro to CFO
0068D41005,Aldergrove Networks,Healthcare,SMB,A. Whitfield,39500,Negotiation,Commit,2026-06-21,2026-03-06,2026-06-21,Security review scheduled
0068D41006,Braemar Partners,Banking,SMB,T. Nakamura,40000,Negotiation,Commit,2026-04-29,2026-09-23,2026-05-02,
0068D41007,Yarrow Networks,Banking,SMB,A. Whitfield,22500,Proposal,Best Case,2026-06-25,2026-08-26,2026-06-25,Procurement portal submitted
0068D41008,Everly Networks,Manufacturing,SMB,S. Lindqvist,30000,Negotiation,Commit,2026-06-25,2026-06-07,2026-06-25,Security review scheduled
0068D41009,Marlowe Capital,Hospitality,Enterprise,S. Lindqvist,489000,Proposal,Best Case,2026-04-09,2026-07-30,2026-05-18,
0068D41010,Peregrine Media,Pharmaceuticals,SMB,M. Reyes,36000,Qualification,Pipeline,2026-06-07,2027-01-09,2026-06-07,Procurement portal submitted
0068D41011,Jarvis Diagnostics,Banking,SMB,J. Baptiste,15500,Proposal,Best Case,2026-05-27,2026-07-25,2026-06-19,"Pricing sent, awaiting legal"
0068D41012,Merrivale Media,Banking,SMB,R. Chowdhury,33000,Contracting,Commit,2026-06-25,2026-06-25,2026-06-25,Procurement portal submitted
0068D41013,Nightingale Bioscience,Manufacturing,Mid-Market,D. Okafor,86000,Qualification,Pipeline,2026-04-08,2026-07-14,2026-05-14,Security review scheduled
0068D41014,Cobalt Health,Logistics,Enterprise,R. Chowdhury,407500,Negotiation,Commit,2026-03-12,2026-08-25,2026-06-28,
0068D41015,Halden Foods,Hospitality,Enterprise,A. Whitfield,275500,Discovery,Pipeline,2026-04-06,2026-07-29,2026-06-18,Security review scheduled
0068D41016,Fenwick Labs,Retail,SMB,M. Reyes,31500,Discovery,Pipeline,2026-05-19,2026-07-15,2026-06-18,Pilot scoping call
0068D41017,Dalhousie Group,Healthcare,SMB,J. Baptiste,31500,Discovery,Pipeline,2026-06-25,2026-10-18,2026-06-25,"Pricing sent, awaiting legal"
0068D41018,Westmere Diagnostics,Banking,Mid-Market,T. Nakamura,150500,Qualification,Pipeline,2026-02-27,2026-06-08,2026-04-25,Procurement portal submitted
