month,customer_id,customer_name,segment,industry,event_type,delta_arr
2024-06-01,CUST-2001,Harrowgate Labs,Mid-Market,Banking,new,74000
2024-06-01,CUST-2002,Maplewood Partners,Mid-Market,Media,new,107000
2024-06-01,CUST-2003,Stonegate Robotics,Mid-Market,Manufacturing,new,93000
2024-06-01,CUST-2004,Carrickfern Foods,SMB,Healthcare,new,27000
2024-06-01,CUST-2005,Redbourne Foods,Mid-Market,Banking,new,81000
2024-06-01,CUST-2006,Nightingale Diagnostics,Enterprise,Pharmaceuticals,new,221000
2024-06-01,CUST-2007,Thornbury Financial,Enterprise,Healthcare,new,289000
2024-06-01,CUST-2008,Braemar Networks,Mid-Market,Healthcare,new,94000
2024-06-01,CUST-2009,Kilmarnock Networks,Mid-Market,Manufacturing,new,94000
2024-06-01,CUST-2010,Stonegate Holdings,Enterprise,Real Estate,new,223000
2024-06-01,CUST-2011,Langford Retail Co,Mid-Market,Retail,new,64000
2024-06-01,CUST-2012,Bellamy Logistics,Mid-Market,Hospitality,new,120000
2024-06-01,CUST-2013,Quarry Hill Group,SMB,Banking,new,35000
2024-06-01,CUST-2014,Ashcombe Bioscience,Mid-Market,Logistics,new,93000
2024-06-01,CUST-2015,Fairhaven Labs,SMB,Media,new,13000
2024-06-01,CUST-2016,Lattice Diagnostics,Mid-Market,Education,new,61000
2024-06-01,CUST-2017,Ivywood Technologies,SMB,Media,new,17000
2024-06-01,CUST-2018,Cobalt Materials,Mid-Market,Logistics,new,76000
2024-06-01,CUST-2019,Cascadia Retail Co,SMB,Real Estate,new,22000
2024-06-01,CUST-2020,Tamarack Media,SMB,Healthcare,new,17000
2024-06-01,CUST-2021,Sable Clinical,Mid-Market,Retail,new,118000
2024-06-01,CUST-2022,Lattice Health,Enterprise,Real Estate,new,218000
2024-06-01,CUST-2023,Inverness Group,Enterprise,Banking,new,264000
2024-06-01,CUST-2024,Glenmore Clinical,SMB,Pharmaceuticals,new,13000
2024-06-01,CUST-2025,Foxglove Labs,SMB,Banking,new,27000
2024-06-01,CUST-2026,Junction Robotics,SMB,Real Estate,new,32000
2024-06-01,CUST-2027,Ironwood Retail Co,SMB,Banking,new,17000
2024-06-01,CUST-2028,Kestrel Therapeutics,SMB,Real Estate,new,31000
2024-06-01,CUST-2029,Oakhurst Labs,SMB,Banking,new,23000
2024-06-01,CUST-2030,Fenwick Capital,SMB,Banking,new,27000
2024-06-01,CUST-2031,Copperfield Foods,SMB,Education,new,12000
2024-06-01,CUST-2032,Sable Industries,Mid-Market,Pharmaceuticals,new,72000
2024-06-01,CUST-2033,Westmere Financial,Enterprise,Manufacturing,new,281000
2024-06-01,CUST-2034,Inverness Bioscience,SMB,Healthcare,new,31000
2024-06-01,CUST-2035,Foxglove Health,SMB,Hospitality,new,28000
2024-06-01,CUST-2036,Marlowe Group,SMB,Media,new,22000
2024-06-01,CUST-2037,Tamarack Insurance,SMB,Manufacturing,new,16000
2024-06-01,CUST-2038,Tessera Clinical,SMB,Education,new,29000
2024-06-01,CUST-2039,Junction Diagnostics,SMB,Logistics,new,25000
2024-06-01,CUST-2040,Stonegate Foods,Mid-Market,Retail,new,89000
2024-06-01,CUST-2041,Brightline Systems,Enterprise,Education,new,158000
2024-06-01,CUST-2042,Norbury Bioscience,Mid-Market,Education,new,122000
2024-06-01,CUST-2043,Oakhurst Analytics,Enterprise,Healthcare,new,248000
