account_id,account_name,industry,employees,region,lead_source,est_arr,icp_score,icp_tier,recommended_action,why
A-07042,Glenmore Logistics,Healthcare,2093,Canada,Inbound Demo,12000,95.9,A,"Route to AE today, personalised outreach",industry=Healthcare (1.42x win rate); size_band=2K-5K (1.29x win rate); lead_source=Inbound Demo (1.15x win rate)
A-07065,Loxley Labs,Retail,2250,UK/EU,Partner Referral,114000,84.0,A,"Route to AE today, personalised outreach",size_band=2K-5K (1.29x win rate); lead_source=Partner Referral (1.24x win rate); region=UK/EU (1.11x win rate)
A-07054,Ivywood Health,Banking,12936,Canada,Inbound Demo,603000,81.3,A,"Route to AE today, personalised outreach",industry=Banking (1.41x win rate); lead_source=Inbound Demo (1.15x win rate); region=Canada (1.08x win rate)
A-07062,Clearwave Aviation,Retail,2663,UK/EU,Paid Search,56000,80.3,A,"Route to AE today, personalised outreach",size_band=2K-5K (1.29x win rate); lead_source=Paid Search (1.12x win rate); region=UK/EU (1.11x win rate)
A-07070,Vault Therapeutics,Healthcare,4067,US-East,Conference,206000,76.9,A,"Route to AE today, personalised outreach",industry=Healthcare (1.42x win rate); size_band=2K-5K (1.29x win rate); weak lead_source=Conference (0.61x)
A-07001,Fairhaven Financial,Pharmaceuticals,12641,Canada,Paid Search,480000,74.9,B,"SDR sequence, standard cadence",industry=Pharmaceuticals (1.29x win rate); lead_source=Paid Search (1.12x win rate); region=Canada (1.08x win rate)
A-07021,Nova Foods,Banking,683,Canada,Paid Search,18000,74.5,B,"SDR sequence, standard cadence",industry=Banking (1.41x win rate); weak size_band=500-2K (0.99x); lead_source=Paid Search (1.12x win rate)
A-07072,Fairhaven Logistics,Banking,66,Canada,Partner Referral,12000,73.5,B,"SDR sequence, standard cadence",industry=Banking (1.41x win rate); weak size_band=1-100 (0.92x); lead_source=Partner Referral (1.24x win rate)
A-07006,Silverpine Health,Banking,64,US-East,Partner Referral,12000,71.6,B,"SDR sequence, standard cadence",industry=Banking (1.41x win rate); weak size_band=1-100 (0.92x); lead_source=Partner Referral (1.24x win rate)
A-07043,Umberton Clinical,Healthcare,262,Canada,Paid Search,12000,71.3,B,"SDR sequence, standard cadence",industry=Healthcare (1.42x win rate); weak size_band=100-500 (0.94x); lead_source=Paid Search (1.12x win rate)
