account_id,account_name,industry,employees,region,lead_source,est_arr,created_date
A-07000,Hollingsworth Labs,Real Estate,1137,US-West,Outbound SDR,53000,2026-04-23
A-07001,Fairhaven Financial,Pharmaceuticals,12641,Canada,Paid Search,480000,2026-06-01
A-07002,Braemar Industries,Healthcare,674,US-West,Outbound SDR,26000,2026-05-31
A-07003,Vault Foods,Healthcare,333,US-East,Inbound Demo,12000,2026-04-11
A-07004,Everly Capital,Logistics,210,US-East,Paid Search,12000,2026-02-02
A-07005,Hollingsworth Media,Media,1235,US-East,Webinar,32000,2026-02-06
A-07006,Silverpine Health,Banking,64,US-East,Partner Referral,12000,2026-06-13
A-07007,Grayling Therapeutics,Retail,347,US-East,Inbound Demo,12000,2026-06-15
A-07008,Westmere Media,Education,761,US-East,Inbound Demo,41000,2026-03-26
A-07009,Glenmore Labs,Education,13401,UK/EU,Paid Search,625000,2026-05-07
A-07010,Harrowgate Partners,Healthcare,83,US-East,Conference,12000,2026-06-22
A-07011,Marlowe Diagnostics,Pharmaceuticals,77,UK/EU,Inbound Demo,12000,2026-02-23
A-07012,Dalhousie Logistics,Education,63,UK/EU,Webinar,12000,2026-05-14
A-07013,Everly Partners,Healthcare,659,US-West,Paid Search,39000,2026-04-15
A-07014,Hollingsworth Systems,Banking,274,US-East,Outbound SDR,12000,2026-03-31
A-07015,Kingsley Aviation,Manufacturing,3682,US-East,Outbound SDR,129000,2026-06-19
A-07016,Halden Systems,Manufacturing,9707,US-West,Partner Referral,557000,2026-05-06
A-07017,Cobalt Capital,Hospitality,2169,UK/EU,Paid Search,79000,2026-03-26
A-07018,Maplewood Holdings,Real Estate,3879,US-West,Partner Referral,116000,2026-06-07
A-07019,Ashcombe Clinical,Education,46,US-East,Inbound Demo,12000,2026-06-06
A-07020,Copperfield Robotics,Hospitality,340,US-East,Conference,13000,2026-06-12
A-07021,Nova Foods,Banking,683,Canada,Paid Search,18000,2026-05-05
A-07022,Inverness Technologies,Logistics,588,US-East,Outbound SDR,28000,2026-02-05
A-07023,Inverness Diagnostics,Logistics,972,US-West,Partner Referral,36000,2026-06-15
A-07024,Thornbury Analytics,Manufacturing,2043,UK/EU,Partner Referral,60000,2026-03-19
A-07025,Norbury Financial,Banking,81,US-East,Paid Search,12000,2026-03-25
A-07026,Ironwood Health,Retail,3620,Canada,Outbound SDR,207000,2026-02-23
A-07027,Fairhaven Media,Hospitality,8392,US-East,Inbound Demo,311000,2026-05-08
A-07028,Dalhousie Retail Co,Hospitality,2636,US-East,Paid Search,110000,2026-05-07
A-07029,Fairhaven Foods,Retail,9895,Canada,Inbound Demo,331000,2026-06-13
A-07030,Junction Industries,Hospitality,162,US-East,Outbound SDR,12000,2026-02-26
